"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"8420";"A042110";"2012KW01";"   105.7";"    -2.7";"     0.4"
"8421";"A042110";"2012KW02";"   104.1";"    -1.5";"    -1.4"
"8422";"A042110";"2012KW03";"   108.1";"     3.8";"     0.2"
"8423";"A042110";"2012KW04";"   105.7";"    -2.2";"    -2.7"
"8424";"A042110";"2012JJ00";"   105.9";"";"    -0.9"
"8425";"A042110";"2013KW01";"   106.7";"     0.9";"     0.9"
"8426";"A042110";"2013KW02";"   106.6";"    -0.1";"     2.4"
"8427";"A042110";"2013KW03";"   107.3";"     0.7";"    -0.7"
"8428";"A042110";"2013KW04";"   104.5";"    -2.6";"    -1.1"
"8429";"A042110";"2013JJ00";"   106.3";"";"     0.4"
"8430";"A042110";"2014KW01";"   102.4";"    -2.0";"    -4.0"
"8431";"A042110";"2014KW02";"   102.8";"     0.4";"    -3.5"
"8432";"A042110";"2014KW03";"   106.0";"     3.1";"    -1.3"
"8433";"A042110";"2014KW04";"   102.2";"    -3.6";"    -2.3"
"8434";"A042110";"2014JJ00";"   103.3";"";"    -2.8"
"8435";"A042110";"2015KW01";"   100.3";"    -1.8";"    -2.0"
"8436";"A042110";"2015KW02";"    98.8";"    -1.5";"    -3.9"
"8437";"A042110";"2015KW03";"   101.9";"     3.1";"    -3.9"
"8438";"A042110";"2015KW04";"    99.0";"    -2.8";"    -3.1"
"8439";"A042110";"2015JJ00";"   100.0";"";"    -3.2"
"8440";"A042110";"2016KW01";"    93.4";"    -5.7";"    -6.9"
"8441";"A042110";"2016KW02";"    94.5";"     1.2";"    -4.4"
"8442";"A042110";"2016KW03";"   101.5";"     7.5";"    -0.3"
"8443";"A042110";"2016KW04";"    99.2";"    -2.3";"     0.2"
"8444";"A042110";"2016JJ00";"    97.1";"";"    -2.9"
"8445";"A042110";"2017KW01";"    97.2";"    -2.0";"     4.1"
"8446";"A042110";"2017KW02";"    98.0";"     0.9";"     3.8"
"8447";"A042110";"2017KW03";"    99.2";"     1.2";"    -2.3"
"8448";"A042110";"2017KW04";"    99.5";"     0.3";"     0.3"
"8449";"A042110";"2017JJ00";"    98.5";"";"     1.4"
